arxiv_id,predicted_type,reasoning
2403.00406,regular,"The paper presents a novel method for adaptive restructuring of Merkle and Verkle trees, proposing a new approach to blockchain scalability."
2002.04059,regular,"The paper presents a novel method for identifying infected computers in a network, focusing on a specific application and experimental results."
2509.13035,regular,"This paper presents a formal verification framework for threat detection systems, outlining a novel method for checking the conformance of detection rules to threat models. It is not a review or survey of existing research."
2505.16246,regular,"This paper presents a novel verifiable differentially private median estimation scheme, not a review or survey of existing methods."
2011.12248,regular,"This paper presents a novel hardware-assisted detection technique for crypto-ransomware, outlining its design, training, and evaluation."
2205.13322,regular,"This paper presents a new DoS mitigation technique, not a review of existing literature."
2209.11198,review,"The paper discusses WhatsApp's end-to-end encryption system, providing an overview of its features and importance within the context of messaging applications."
2511.1707,review,"The paper reviews existing approaches to compile applications with confidentiality and integrity protection, and then presents Tical as a new framework for achieving this."
2408.16387,regular,"This paper presents a novel SMPC protocol and its implementation, focusing on efficient and secure image inference using CNNs. It does not review existing literature or present a position on research directions."
2502.15506,regular,"This paper presents a new system for semi-autonomous penetration testing, outlining its design and evaluating its performance through experiments."
2402.07241,regular,"This paper presents a new protocol for incentivizing watchtowers in rollup networks, which is an original research contribution."
2311.03809,review,"The paper reviews the security of UEFI, analyzes attacks, and proposes countermeasures, making it a review paper."
2308.15139,regular,"The paper presents a new system for private token transfer on the Ethereum blockchain, outlining its design, security analysis, and experimental results."
2012.01946,regular,"This paper presents original research on related-domain attacks, not a review of existing literature."
2404.0215,regular,This paper presents original research on a novel material (Alginate) for spoofing fingerprint sensors in IoT devices.
2507.06039,regular,"This paper presents a new tool and methodology for testing microarchitectural isolation, not a review of existing research."
2307.09087,regular,"This paper presents original research on malicious third-party dependencies, outlining attack techniques and mitigation strategies."
2110.00104,regular,"This paper presents a novel electromagnetic attack method for exfiltrating data from air-gapped networks, not a review of existing research."
2107.02753,regular,"This paper presents a study comparing two machine learning models trained on the CIDDS-001 dataset, which involves original research and experimental results."
2306.08074,regular,"The paper describes a new framework called RETINA for secure energy trading in smart grids, presenting a novel solution rather than reviewing existing work."
2310.04546,regular,"The paper presents a novel framework for privacy-preserving financial anomaly detection, outlining its technical details and experimental results."
2511.19523,regular,"This paper presents a novel defense framework for LLMs in cybersecurity, outlining its design, implementation, and evaluation. It is not a review or survey of existing work."
2403.10226,regular,"This paper presents empirical research on liquid staking tokens in automated market makers, including theoretical modeling and empirical analysis of real-world data."
2505.11097,regular,"This paper presents a novel attack and defense framework for federated unlearning, which is an original research paper."
2310.01087,regular,"The paper presents a novel DID method, not a review of existing research."
2407.09004,regular,"The paper describes a practical deployment of a privacy-preserving framework for genomic research, presenting a novel solution rather than reviewing existing literature."
2509.07615,regular,"This paper presents a new framework for MCU peripheral emulation, outlining its design, implementation, and evaluation with experimental results."
2206.13104,regular,"The paper presents a novel approach to designing attacks against trust prediction models in signed social networks, outlining specific attack methods and evaluation strategies. This constitutes original research."
2302.09197,regular,"The paper presents a new authentication system for drones, not a review of existing research."
2012.09221,regular,"The paper presents a new protocol for drone base station handover, outlining its functionality and security benefits. It does not primarily review existing research."
2106.01161,regular,"This paper presents a novel mechanism for paying transaction fees in custom currencies on Ethereum, outlining a new approach and formal rules for handling liabilities."
2208.11581,regular,"This paper presents original research findings on security and privacy advice shared on Twitter during the 2022 Russian invasion of Ukraine, not a review of existing literature."
2306.03573,regular,"This paper presents a novel protocol (mdTLS) and its security verification, not a review of existing research."
2509.08748,regular,"This paper presents a novel defense mechanism against backdoor attacks, outlining its implementation and demonstrating its effectiveness through experiments."
2003.0385,regular,"This paper presents a novel compiler-assisted scheduler for detecting and mitigating cache-based side channel attacks, outlining its functionality and demonstrating its effectiveness through experiments."
2004.08559,regular,"This paper presents a novel methodology for assessing app privacy compliance, not a review of existing research."
2008.00146,regular,"This paper presents a novel attack on AMD's SEV security feature, outlining its methodology and demonstrating successful attacks. It is not a review or survey of existing research."
2512.09442,regular,"This paper presents a novel metric-based membership inference attack against hybrid-based recommender systems, proposing a new method and demonstrating its efficacy through theoretical and empirical analysis."
2004.08836,regular,"This paper presents a new protocol called Trollthrottle for limiting the number of comments a user can post, not a review of existing research on astroturfing."
2502.20835,regular,"This paper presents a novel method for distributed key generation, not a review or survey of existing work."
2210.0711,regular,"This paper presents a new protocol for off-chain smart contract execution, outlining its design, security guarantees, and evaluation."
2201.13153,regular,"This paper presents a new method for injecting backdoors into RSA, which is original research."
2307.10191,regular,"The paper presents a novel approach for network intrusion detection, outlining its design, implementation, and experimental results."
2405.15753,regular,"This paper presents a new security definition and a framework for evaluating reconstruction attacks, not a review of existing research."
2511.10863,regular,"This paper presents a novel secure aggregation system for federated learning, outlining its design, functionality, and performance."
2005.07574,regular,"This paper presents a novel payment protocol called CryptoMaze, outlining its design, functionality, and performance comparisons with existing methods."
2410.23563,regular,"This paper presents a novel method for detecting malicious cryptocurrency transactions, not a review or survey of existing research."
2406.13585,review,"The paper provides a survey of MEV, its impact on DeFi, and existing solutions to address it."
2308.14835,regular,"The paper presents an evaluation of malware detectors, not a review of existing literature."
2311.14496,regular,"This paper describes a dataset for attack research, not a review or survey of existing research."
2406.05933,regular,"This paper presents a new model for vulnerability ranking, not a review of existing research."
2105.09453,regular,"This paper presents a novel attack method, not a review of existing research."
2008.06747,regular,"The paper presents a novel system for smart voltage monitoring, proposing new models and implementations, not a review of existing literature."
2506.14944,regular,This paper presents a novel FDE implementation with near-plaintext efficiency and discusses its application in Bitcoin's off-chain execution.
2212.06601,regular,"The paper presents a new algorithm for trajectory reconstruction, not a review of existing research."
2007.005,regular,"This paper presents a new method for detecting audio transmissions to the cloud, not a review of existing research."
2205.13176,regular,"This paper presents a new method for improving the robustness of bagging, a novel approach, not a review of existing research."
2504.21739,regular,"This paper presents a novel algorithm for federated learning, not a review of existing research."
2507.1267,regular,"This paper presents a novel IBS scheme for generating addresses, not a review of existing research."
2107.05411,review,This paper reviews and formalizes different variants of weakened random oracle models (WROMs) and their applications to signature schemes.
2510.27275,review,"The paper reviews the prevalence of security and privacy risks associated with the use of AI-based conversational agents, summarizing findings from a survey of users."
2506.11669,regular,"This paper presents a novel handover authentication scheme, not a review or survey of existing work."
2405.00793,review,"The paper provides an overview of the impact of IMSI catchers on cellular network security, discussing challenges, countermeasures, and future research directions. This is characteristic of a review paper."
2201.12727,regular,"The paper presents a novel blockchain-based AI system for APT detection, outlining its design, implementation, and experimental results."
2507.09699,review,"The paper reviews and analyzes the relationship between differential privacy and disclosure risk, providing insights for understanding and applying DP."
2008.08672,regular,"The paper proposes a new hierarchical authentication framework, presenting a novel approach to IoT security, not a review of existing literature."
2509.16749,regular,"This paper presents a new evaluation framework and benchmark for LLM-generated cybersecurity rules, focusing on empirical results and methodology."
2504.20827,regular,"The paper presents a novel method for privacy-preserving data sharing in smart homes, not a review of existing literature."
2010.01785,review,"The paper reviews existing fuzzers, evaluates their performance using UNIFUZZ, and proposes new metrics for fuzzer evaluation."
2001.05273,regular,"The paper presents a novel blockchain-based solution for the insurance industry, not a review of existing research."
2502.04224,regular,"This paper presents a new method (XGNNCert) for improving the robustness of Graph Neural Networks against graph perturbation attacks, not a review of existing research."
2504.08967,regular,"This paper presents a new tool for compiler fuzzing, not a review or survey of existing research."
2507.16576,regular,"This paper presents a novel tool for automating STIX entity and relationship extraction, outlining its architecture, training data, and performance evaluation. It is not a review or survey of existing research."
2306.14772,regular,"This paper presents a novel hybrid approach for post-quantum secure blockchain-based federated learning, outlining a new method and experimental results."
2409.02735,review,The paper reviews the support provided by IoT platform providers for developers in implementing security features.
2503.15964,review,"The paper reviews and surveys existing literature on decentralized identity applications, including academic and grey literature, to provide a comprehensive overview of the field."
2204.11641,regular,"This paper presents a novel attack on GNSS signals, demonstrating a new vulnerability in cryptographic authentication methods."
2311.07299,regular,"The paper presents a new extension to an existing library for fine-grained access control, focusing on practical implementation and challenges, not a general review of existing research."
2101.04888,regular,"This paper presents a new proof technique for crooked indifferentiability, a novel approach to analyzing hash function security, and provides a revised proof for the enveloped XOR construction."
2209.03826,regular,This paper presents a new method for predicting future device security risk based on historical data and existing prediction algorithms. It does not primarily review existing research.
2107.04284,regular,"This paper presents a novel black-box attack framework for video recognition systems, outlining its methodology, advantages, and experimental results."
2007.10608,regular,"This paper presents a novel semi-supervised intrusion detection system, outlining its methodology and experimental results."
2105.14427,regular,"This paper presents a new theoretical framework for concurrent composition of differentially private mechanisms, introducing a novel concept and proving theorems about its properties."
2105.10917,review,The paper reviews existing literature and identifies gaps in drone digital forensics investigation frameworks.
2207.14071,regular,"This paper presents a new system for verifying homomorphic computations, outlining its implementation and demonstrating its practical applications. It does not primarily review existing research."
2408.05218,regular,"This paper critiques and proposes corrections to a previously published privacy-preserving retrieval scheme, presenting original research findings."
2110.1174,review,"This paper reviews existing practices and norms for transaction ordering in Bitcoin blockchains, highlighting potential issues with bias and lack of neutrality."
2402.1629,regular,"The paper presents a new card-based protocol for computing an equality function, not a review of existing research."
2404.06031,regular,"The paper describes a new tool (FuSeBMC-AI) and its implementation, not a review or survey of existing research."
