arxiv_id,predicted_type,reasoning
2203.01061,regular,"The paper presents a novel trajectory planning method for aerial perching, outlining its features and experimental validation."
2210.09746,regular,"The paper presents a new travel agent dialogue system, not a review of existing research."
2406.12505,regular,"This paper presents a novel method for autonomous quadrotor flight using vision-based reinforcement learning, not a review of existing research."
2310.19185,regular,"The paper describes a novel mechanism for constructing barriers, presenting a new method and algorithm for its construction, not a review of existing work."
2110.09621,regular,"This paper presents a novel algorithm for probabilistic semantic data association, not a review of existing research."
2103.02472,regular,"This paper presents a novel method for least squares optimization using Gaussian mixtures, not a review of existing literature."
2412.16401,regular,"The paper presents a novel encoder-decoder architecture based on the Clarke transform, proposing new methods for control and trajectory generation in robots."
2504.06154,regular,"This paper presents original research on adversarial obstacle attacks in search-based path planning, focusing on experimental results and impact assessment."
2202.09221,regular,"This paper presents a novel method for programming robotic manipulators, outlining a new skill-based approach for assistive robots."
2107.14697,regular,"This paper presents a novel method for modeling human finger kinematics, not a review of existing research."
2504.05727,regular,"This paper presents a novel framework for autonomous driving, outlining its design, implementation, and evaluation. It does not primarily review existing research."
2410.2409,regular,"This paper presents a novel self-supervised learning model for touch representation, not a review of existing research."
2407.02061,regular,"The paper presents a novel LiDAR-based localization system, outlining its design, implementation, and experimental evaluation."
2304.08539,regular,"This paper presents a novel method for learning co-adaptive interfaces, not a review of existing research."
2207.06572,regular,"This paper presents a novel method for training robotic policies in simulation that can interact with humans in the real world. It describes a new algorithm and experimental results, making it an original research paper."
2208.00731,regular,"This paper presents original research on a new method for designing and controlling a soft robotic swimmer, including experimental results and a simulation-to-real matching approach."
2408.13699,regular,"This paper presents a novel method for 3D tumor reconstruction using tactile exploration, not a review of existing research."
2211.03423,regular,"This paper presents a new method for detecting invalid map merges in lifelong SLAM, which is an original research contribution."
2401.04268,regular,"The paper describes the design and development of a new hardware and software system for deploying autonomous underwater vehicles, not a review of existing research."
2510.21164,regular,"This paper presents a novel controller for robotic assembly, outlining its design, implementation, and experimental results. It does not primarily review existing research."
2401.08939,regular,"The paper presents a real-world case study of an autonomous shuttle, focusing on its design, performance evaluation, and lessons learned, rather than a review of existing literature."
2511.01165,regular,"The paper presents a novel method for enhancing proprioception in soft robots, focusing on experimental results and comparisons with existing approaches."
2502.13452,regular,"The paper presents a new framework for lifelong mapping, describing its functionality and experimental results."
2307.1544,regular,"This paper presents a novel method for generating robot motions, not a review of existing research."
2307.00089,regular,"This paper presents a new model to predict the collapse of soft, growing inflated beam robots, which is an original research contribution."
2502.20771,regular,"This paper presents a novel self-adjusting execution framework for mobile manipulation, outlining its design, implementation, and experimental evaluation."
2211.06905,regular,"The paper presents a novel autonomous exploration mission for a Martian lava tube, outlining a custom-designed quadrotor and a planning framework. It does not primarily review existing research."
2511.07921,regular,"This paper presents a novel footstep planning strategy based on MPC, outlining a new method for quadruped locomotion, not a review of existing research."
2509.23651,regular,"The paper presents a novel method for whole-body manipulation in a robot, describing its design, training, and experimental validation."
2411.1429,regular,"This paper presents a novel hardware design for object manipulation, outlining its functionality and demonstrating its effectiveness through experiments."
2310.01519,regular,"The paper presents a novel algorithm for multi-robot coordination, focusing on learning a cost prediction function. It does not review existing research or present a position on a field."
2501.14099,regular,"This paper presents the development and validation of a new scale to measure perceived danger in human-robot interaction, which is an original research paper."
2108.11456,regular,"The paper presents a new autonomous UAV system for disinfection, outlining its design, functionality, and experimental results."
2312.10941,regular,"The paper presents a technical reference for autonomous vehicle behavior in Singapore, outlining guidelines and recommendations for future development."
2310.00879,regular,"The paper presents a new model and evaluation procedure for free space segmentation, not a review of existing work."
2108.07993,regular,"This paper presents a novel planning system for automated vehicles, outlining its architecture, algorithms, and experimental validation."
2202.13513,regular,"This paper presents a novel method for controlling drift in a racecar, outlining a new algorithm and experimental implementation."
2303.02291,regular,"This paper presents a new dynamic model for soft robotic snake locomotion, including numerical evaluation and experimental validation, making it an original research paper."
2303.17808,regular,"This paper presents a novel algorithm for generating functional grasps for anthropomorphic hands, outlining a new method and experimental results."
2309.15685,regular,"This paper presents a novel framework for trajectory prediction, not a review of existing research."
2506.14754,regular,"This paper presents a novel multisensory touch representation system called Sparsh-X, which is an original research paper describing a new method and its evaluation."
2511.15358,regular,"The paper presents a novel reinforcement learning framework, not a review of existing research."
2505.03761,review,"The paper reviews emerging co-design approaches for soft robots, discussing their limitations and proposing a new framework."
