arxiv_id,paper_type,period,year,perplexity,alpha_estimate,alpha_ci_half_width,year_alpha_estimate,year_alpha_ci_half_width,alpha_adjusted,alpha_adjusted_ci_half_width,year_alpha_adjusted,year_alpha_adjusted_ci_half_width
2001.11259,regular,pre_llm,2020,62.76928329467773,0.037,0.003,,,0.0,0.0,,
2001.01945,regular,pre_llm,2020,76.76141357421875,0.037,0.003,,,0.0,0.0,,
2001.00771,regular,pre_llm,2020,42.6769905090332,0.037,0.003,,,0.0,0.0,,
2001.05525,review,pre_llm,2020,35.99405670166016,0.158,0.012,,,0.0,0.0,,
2001.04827,regular,pre_llm,2020,44.4849739074707,0.037,0.003,,,0.0,0.0,,
2001.04187,review,pre_llm,2020,33.312225341796875,0.158,0.012,,,0.0,0.0,,
2001.02282,regular,pre_llm,2020,44.31739807128906,0.037,0.003,,,0.0,0.0,,
2001.01848,regular,pre_llm,2020,75.95500183105469,0.037,0.003,,,0.0,0.0,,
2001.09273,review,pre_llm,2020,53.15044403076172,0.158,0.012,,,0.0,0.0,,
2001.01837,regular,pre_llm,2020,33.145118713378906,0.037,0.003,,,0.0,0.0,,
2001.07534,review,pre_llm,2020,50.10550308227539,0.158,0.012,,,0.0,0.0,,
2001.01071,regular,pre_llm,2020,53.926025390625,0.037,0.003,,,0.0,0.0,,
2001.11229,regular,pre_llm,2020,46.859336853027344,0.037,0.003,,,0.0,0.0,,
2001.09672,review,pre_llm,2020,62.647552490234375,0.158,0.012,,,0.0,0.0,,
2001.04041,regular,pre_llm,2020,41.19486618041992,0.037,0.003,,,0.0,0.0,,
2001.0449,regular,pre_llm,2020,42.35810470581055,0.037,0.003,,,0.0,0.0,,
2001.08852,regular,pre_llm,2020,26.592796325683597,0.037,0.003,,,0.0,0.0,,
2001.09406,review,pre_llm,2020,26.02932357788086,0.158,0.012,,,0.0,0.0,,
2001.03782,regular,pre_llm,2020,55.3553581237793,0.037,0.003,,,0.0,0.0,,
2001.07424,regular,pre_llm,2020,40.92637252807617,0.037,0.003,,,0.0,0.0,,
2002.02379,regular,pre_llm,2020,35.83148193359375,0.037,0.003,,,0.0,0.0,,
2001.10783,regular,pre_llm,2020,32.76110076904297,0.037,0.003,,,0.0,0.0,,
2001.05734,review,pre_llm,2020,37.404762268066406,0.158,0.012,,,0.0,0.0,,
2001.10461,regular,pre_llm,2020,25.86370658874512,0.037,0.003,,,0.0,0.0,,
2001.07179,regular,pre_llm,2020,86.66101837158203,0.037,0.003,,,0.0,0.0,,
2001.07583,regular,pre_llm,2020,46.90762710571289,0.037,0.003,,,0.0,0.0,,
2001.00486,regular,pre_llm,2020,45.63008117675781,0.037,0.003,,,0.0,0.0,,
2001.0692,regular,pre_llm,2020,66.80863189697266,0.037,0.003,,,0.0,0.0,,
2001.08014,review,pre_llm,2020,45.01420211791992,0.158,0.012,,,0.0,0.0,,
2001.01825,regular,pre_llm,2020,43.07662582397461,0.037,0.003,,,0.0,0.0,,
2001.06681,regular,pre_llm,2020,28.686174392700195,0.037,0.003,,,0.0,0.0,,
2001.0917,regular,pre_llm,2020,37.5280876159668,0.037,0.003,,,0.0,0.0,,
2001.0323,regular,pre_llm,2020,43.98312377929688,0.037,0.003,,,0.0,0.0,,
2001.08231,review,pre_llm,2020,26.335399627685547,0.158,0.012,,,0.0,0.0,,
2001.01659,regular,pre_llm,2020,44.95269393920898,0.037,0.003,,,0.0,0.0,,
2001.10405,regular,pre_llm,2020,73.27143859863281,0.037,0.003,,,0.0,0.0,,
2001.07162,regular,pre_llm,2020,54.73701095581055,0.037,0.003,,,0.0,0.0,,
2001.01204,regular,pre_llm,2020,43.13661575317383,0.037,0.003,,,0.0,0.0,,
2001.01202,regular,pre_llm,2020,36.112674713134766,0.037,0.003,,,0.0,0.0,,
2001.03643,review,pre_llm,2020,30.94854736328125,0.158,0.012,,,0.0,0.0,,
2001.06724,regular,pre_llm,2020,67.711669921875,0.037,0.003,,,0.0,0.0,,
2001.03418,regular,pre_llm,2020,44.90916442871094,0.037,0.003,,,0.0,0.0,,
2001.06476,regular,pre_llm,2020,81.10327911376953,0.037,0.003,,,0.0,0.0,,
2001.06075,regular,pre_llm,2020,95.79125213623048,0.037,0.003,,,0.0,0.0,,
2001.01952,regular,pre_llm,2020,39.49760055541992,0.037,0.003,,,0.0,0.0,,
2001.00694,regular,pre_llm,2020,38.57841110229492,0.037,0.003,,,0.0,0.0,,
2001.091,review,pre_llm,2020,30.937238693237305,0.158,0.012,,,0.0,0.0,,
2001.05354,regular,pre_llm,2020,51.64842224121094,0.037,0.003,,,0.0,0.0,,
2001.01387,review,pre_llm,2020,32.49017333984375,0.158,0.012,,,0.0,0.0,,
2001.06616,review,pre_llm,2020,42.12379455566406,0.158,0.012,,,0.0,0.0,,
2001.07421,regular,pre_llm,2020,29.836545944213867,0.037,0.003,,,0.0,0.0,,
2001.023,review,pre_llm,2020,45.82950210571289,0.158,0.012,,,0.0,0.0,,
2001.03937,regular,pre_llm,2020,64.76129913330078,0.037,0.003,,,0.0,0.0,,
2001.02975,review,pre_llm,2020,37.06319427490234,0.158,0.012,,,0.0,0.0,,
2001.0235,regular,pre_llm,2020,39.34882354736328,0.037,0.003,,,0.0,0.0,,
2001.09624,regular,pre_llm,2020,42.80766296386719,0.037,0.003,,,0.0,0.0,,
2001.10248,regular,pre_llm,2020,33.06760025024414,0.037,0.003,,,0.0,0.0,,
2001.10881,regular,pre_llm,2020,36.09157180786133,0.037,0.003,,,0.0,0.0,,
2001.06519,regular,pre_llm,2020,38.411582946777344,0.037,0.003,,,0.0,0.0,,
2001.06203,regular,pre_llm,2020,37.9815559387207,0.037,0.003,,,0.0,0.0,,
2001.0825,regular,pre_llm,2020,54.32880401611328,0.037,0.003,,,0.0,0.0,,
2001.00515,regular,pre_llm,2020,69.70115661621094,0.037,0.003,,,0.0,0.0,,
2001.11144,review,pre_llm,2020,31.276531219482425,0.158,0.012,,,0.0,0.0,,
2001.07586,regular,pre_llm,2020,43.40435409545898,0.037,0.003,,,0.0,0.0,,
2001.03618,review,pre_llm,2020,59.581668853759766,0.158,0.012,,,0.0,0.0,,
2001.05644,regular,pre_llm,2020,53.79354095458984,0.037,0.003,,,0.0,0.0,,
2001.08855,regular,pre_llm,2020,34.52402877807617,0.037,0.003,,,0.0,0.0,,
2001.01841,regular,pre_llm,2020,58.459468841552734,0.037,0.003,,,0.0,0.0,,
2001.09555,regular,pre_llm,2020,37.228477478027344,0.037,0.003,,,0.0,0.0,,
2001.07157,regular,pre_llm,2020,33.27639389038086,0.037,0.003,,,0.0,0.0,,
2001.0884,regular,pre_llm,2020,42.36190032958984,0.037,0.003,,,0.0,0.0,,
2001.05211,regular,pre_llm,2020,29.42417526245117,0.037,0.003,,,0.0,0.0,,
2001.08999,regular,pre_llm,2020,34.28168487548828,0.037,0.003,,,0.0,0.0,,
2001.0452,regular,pre_llm,2020,43.48961639404297,0.037,0.003,,,0.0,0.0,,
2001.08497,regular,pre_llm,2020,85.16000366210938,0.037,0.003,,,0.0,0.0,,
2001.06077,regular,pre_llm,2020,40.25756454467773,0.037,0.003,,,0.0,0.0,,
2001.01525,regular,pre_llm,2020,41.4227294921875,0.037,0.003,,,0.0,0.0,,
2001.01946,regular,pre_llm,2020,72.46080017089844,0.037,0.003,,,0.0,0.0,,
2001.07585,regular,pre_llm,2020,70.35838317871094,0.037,0.003,,,0.0,0.0,,
2001.06729,regular,pre_llm,2020,46.38947677612305,0.037,0.003,,,0.0,0.0,,
2001.05273,regular,pre_llm,2020,34.757102966308594,0.037,0.003,,,0.0,0.0,,
2001.08575,review,pre_llm,2020,65.25665283203125,0.158,0.012,,,0.0,0.0,,
2001.06909,review,pre_llm,2020,48.86880111694336,0.158,0.012,,,0.0,0.0,,
2002.10635,review,pre_llm,2020,26.783985137939453,0.158,0.012,,,0.0,0.0,,
2002.08007,regular,pre_llm,2020,33.50704574584961,0.037,0.003,,,0.0,0.0,,
2002.06564,regular,pre_llm,2020,30.81960105895996,0.037,0.003,,,0.0,0.0,,
2002.05624,regular,pre_llm,2020,43.11824798583984,0.037,0.003,,,0.0,0.0,,
2002.07748,regular,pre_llm,2020,44.936161041259766,0.037,0.003,,,0.0,0.0,,
