arxiv_id,paper_type,period,year,month,pangram_prediction
2001.06681,regular,pre_llm,2020,1,"{'ai_likelihood': 1.8212530348036025e-06, 'text': 'Automating the Generation of Cyber Range Virtual Scenarios with VSDL\n\n  A cyber range is an environment used for training security experts and\ntesting attack and defence tools and procedures. Usually, a cyber range\nsimulates one or more critical infrastructures that attacking (red) and\ndefending (blue) teams must compromise and protect, respectively. The\ninfrastructure can be physically assembled, but much more convenient is to rely\non the Infrastructure as a Service (IaaS) paradigm. Although some modern\ntechnologies support the IaaS, the design and deployment of scenarios of\ninterest is mostly a manual operation. As a consequence, it is a common\npractice to have a cyber range hosting few (sometimes only one), consolidated\nscenarios. However, reusing the same scenario may significantly reduce the\neffectiveness of the training and testing sessions. In this paper, we propose a\nframework for automating the definition and deployment of arbitrarily complex\ncyber range scenarios. The framework relies on the virtual scenario description\nlanguage (VSDL), i.e., a domain-specific language for defining high-level\nfeatures of the desired infrastructure while hiding low-level details. The\nsemantics of VSDL is given in terms of constraints that must be satisfied by\nthe virtual infrastructure. These constraints are then submitted to an SMT\nsolver for checking the satisfiability of the specification. If satisfiable,\nthe specification gives rise to a model that is automatically converted to a\nset of deployment scripts to be submitted to the IaaS provider.\n', 'prediction': 'Unlikely AI', 'llm_prediction': {'GPT35': 0.0, 'GPT4': 0.0, 'CLAUDE': 0.0, 'GOOGLE': 0.0, 'OPENAI_O_SERIES': 0.0, 'DEEPSEEK': 0.0, 'GROK': 0.0, 'NOVA': 0.0, 'OTHER': 0.0, 'HUMAN': 0.0}}"
2001.11259,regular,pre_llm,2020,1,"{'ai_likelihood': 1.986821492513021e-07, 'text': 'RTM: Blockchain That Support Revocable Transaction Model\n\n  In many typical application scenarios, it is necessary to revoke the\nincorrect account operations caused by user mis-operation, financial fraud,\nillegal hacking, etc. Unfortunately, users often blur the lines between the\nconcept of ""transaction state revocable"" and ""business status revocable"", which\nresult in revocable transaction not universally supported in blockchain systems\nat present. In this work, we propose GateChain , a blockchain that support\nrevocable transaction model (RTM) on distributed ledger. Specifically, based on\nthe state-of-the-art blockchain technologies, GateChain can safely withdraw the\naccount status change operations by leveraging an improved account model and\nextra designed transaction types. On that basis, GateChain exploit the\ncharacteristics of functional completeness, easy to deployment and lower\ncomplexity.\n', 'prediction': 'Unlikely AI', 'llm_prediction': {'GPT35': 0.0, 'GPT4': 0.0, 'CLAUDE': 0.0, 'GOOGLE': 0.0, 'OPENAI_O_SERIES': 0.0, 'DEEPSEEK': 0.0, 'GROK': 0.0, 'NOVA': 0.0, 'OTHER': 0.0, 'HUMAN': 0.0}}"
2001.05734,review,pre_llm,2020,1,"{'ai_likelihood': 5.298190646701389e-07, 'text': 'A Systems Thinking for Cybersecurity Modeling\n\n  Solving cybersecurity issues requires a holistic understanding of components,\nfactors, structures and their interactions in cyberspace, but conventional\nmodeling approaches view the field of cybersecurity by their boundaries so that\nwe are still not clear to cybersecurity and its changes. In this paper, we\nattempt to discuss the application of systems thinking approaches to\ncybersecurity modeling. This paper reviews the systems thinking approaches and\nprovides the systems theories and methods for tackling cybersecurity\nchallenges, regarding relevant fields, associated impact factors and their\ninteractions. Moreover, an illustrative example of systems thinking frameworks\nfor cybersecurity modeling is developed to help broaden the mind in\nmethodology, theory, technology and practice. This article concludes that\nsystems thinking can be considered as one of the powerful tools of\ncybersecurity modeling to find, characterize, understand, evaluate and predict\ncybersecurity.\n', 'prediction': 'Unlikely AI', 'llm_prediction': {'GPT35': 0.0, 'GPT4': 0.0, 'CLAUDE': 0.0, 'GOOGLE': 0.0, 'OPENAI_O_SERIES': 0.0, 'DEEPSEEK': 0.0, 'GROK': 0.0, 'NOVA': 0.0, 'OTHER': 0.0, 'HUMAN': 0.0}}"
2001.0917,regular,pre_llm,2020,1,"{'ai_likelihood': 3.973642985026042e-07, 'text': 'Software-Defined Location Privacy Protection for Vehicular Networks\n\n  While the adoption of connected vehicles is growing, security and privacy\nconcerns are still the key barriers raised by society. These concerns mandate\nautomakers and standardization groups to propose convenient solutions for\nprivacy preservation. One of the main proposed solutions is the use of\nPseudonym-Changing Strategies (PCSs). However, ETSI has recently published a\ntechnical report which highlights the absence of standardized and efficient\nPCSs [1]. This alarming situation mandates an innovative shift in the way that\nthe privacy of end-users is protected during their journey. Software-Defined\nNetworking (SDN) is emerging as a key 5G enabler to manage the network in a\ndynamic manner. SDN-enabled wireless networks are opening up new programmable\nand highly-flexible privacy-aware solutions. We exploit this paradigm to\npropose an innovative software-defined location privacy architecture for\nvehicular networks. The proposed architecture is context-aware, programmable,\nextensible, and able to encompass all existing and future pseudonym-changing\nstrategies. To demonstrate the merit of our architecture, we consider a case\nstudy that involves four pseudonym-changing strategies, which we deploy over\nour architecture and compare with their static implementations. We also detail\nhow the SDN controller dynamically switches between the strategies according to\nthe context.\n', 'prediction': 'Unlikely AI', 'llm_prediction': {'GPT35': 0.0, 'GPT4': 0.0, 'CLAUDE': 0.0, 'GOOGLE': 0.0, 'OPENAI_O_SERIES': 0.0, 'DEEPSEEK': 0.0, 'GROK': 0.0, 'NOVA': 0.0, 'OTHER': 0.0, 'HUMAN': 0.0}}"
2001.03782,regular,pre_llm,2020,1,"{'ai_likelihood': 4.3047799004448785e-07, 'text': ""Optimizing Investments in Cyber Hygiene for Protecting Healthcare Users\n\n  Cyber hygiene measures are often recommended for strengthening an\norganization's security posture, especially for protecting against social\nengineering attacks that target the human element. However, the related\nrecommendations are typically the same for all organizations and their\nemployees, regardless of the nature and the level of risk for different groups\nof users. Building upon an existing cybersecurity investment model, this paper\npresents a tool for optimal selection of cyber hygiene safeguards, which we\nrefer as the Optimal Safeguards Tool. The model combines game theory and\ncombinatorial optimization taking into account the probability of each user\ngroup to being attacked, the value of assets accessible by each group, and the\nefficacy of each control for a particular group. The model considers indirect\ncost as the time employees could require for learning and training against an\nimplemented control. Utilizing a game-theoretic framework to support the\nKnapsack optimization problem permits us to optimally select safeguards'\napplication levels minimizing the aggregated expected damage within a security\ninvestment budget. We evaluate OST in a healthcare domain use case. The\nCritical Internet Security Control group 17 for implementing security awareness\nand training programs for employees belonging to the ICT, clinical and\nadministration personnel of a hospital. We compare the strategies implemented\nby OST against alternative common-sense defending approaches for three\ndifferent types of attackers: Nash, Weighted and Opportunistic. Nash defending\nstrategies are consistently better than the competing strategies for all\nattacker types with a minor exception where the Nash defending strategy\nperforms at least as good as other common-sense approaches.\n"", 'prediction': 'Unlikely AI', 'llm_prediction': {'GPT35': 0.0, 'GPT4': 0.0, 'CLAUDE': 0.0, 'GOOGLE': 0.0, 'OPENAI_O_SERIES': 0.0, 'DEEPSEEK': 0.0, 'GROK': 0.0, 'NOVA': 0.0, 'OTHER': 0.0, 'HUMAN': 0.0}}"
2001.08014,review,pre_llm,2020,1,"{'ai_likelihood': 4.3047799004448785e-07, 'text': 'Security and Privacy in Vehicular Social Networks\n\n  We surveyed and presented the state-of-the-art VC systems, security and\nprivacy architectures and technologies, emphasizing on security and privacy\nchallenges and their solutions for P2P interactions in VSNs towards\nstandardization and deployment. We note that beyond safety applications that\nhave drawn a lot of attention in VC systems, there is significant and rising\ninterest in vehicle-to-vehicle interaction for a range of transportation\nefficiency and infotainment applications, notably LBS as well as a gamut of\nservices by mobile providers. While this enriches the VC systems and the user\nexperience, security and privacy concerns are also intensified. This is\nespecially so, considering (i) the privacy risk from the exposure of the users\nto the service providers, and (ii) the security risk from the interaction with\nmalicious or selfish and thus misbehaving users or infrastructure. We showed\nexisting solutions can in fact evolve and address the VSN-specific challenges,\nand improve or even accelerate the adoption of VSN applications.\n', 'prediction': 'Unlikely AI', 'llm_prediction': {'GPT35': 0.0, 'GPT4': 0.0, 'CLAUDE': 0.0, 'GOOGLE': 0.0, 'OPENAI_O_SERIES': 0.0, 'DEEPSEEK': 0.0, 'GROK': 0.0, 'NOVA': 0.0, 'OTHER': 0.0, 'HUMAN': 0.0}}"
2001.07534,review,pre_llm,2020,1,"{'ai_likelihood': 6.622738308376736e-07, 'text': 'VeSPA: Vehicular Security and Privacy-preserving Architecture\n\n  Standardization and harmonization efforts have reached a consensus towards\nusing a special-purpose Vehicular Public-Key Infrastructure (VPKI) in upcoming\nVehicular Communication (VC) systems. However, there are still several\ntechnical challenges with no conclusive answers; one such an important yet open\nchallenge is the acquisition of short-term credentials, pseudonym: how should\neach vehicle interact with the VPKI, e.g., how frequently and for how long?\nShould each vehicle itself determine the pseudonym lifetime? Answering these\nquestions is far from trivial. Each choice can affect both the user privacy and\nthe system performance and possibly, as a result, its security. In this paper,\nwe make a novel systematic effort to address this multifaceted question. We\ncraft three generally applicable policies and experimentally evaluate the VPKI\nsystem performance, leveraging two large-scale mobility datasets. We consider\nthe most promising, in terms of efficiency, pseudonym acquisition policies; we\nfind that within this class of policies, the most promising policy in terms of\nprivacy protection can be supported with moderate overhead. Moreover, in all\ncases, this work is the first to provide tangible evidence that the\nstate-of-the-art VPKI can serve sizable areas or domain with modest computing\nresources.\n', 'prediction': 'Unlikely AI', 'llm_prediction': {'GPT35': 0.0, 'GPT4': 0.0, 'CLAUDE': 0.0, 'GOOGLE': 0.0, 'OPENAI_O_SERIES': 0.0, 'DEEPSEEK': 0.0, 'GROK': 0.0, 'NOVA': 0.0, 'OTHER': 0.0, 'HUMAN': 0.0}}"
2001.02975,review,pre_llm,2020,1,"{'ai_likelihood': 5.960464477539062e-07, 'text': ""Is Cryptojacking Dead after Coinhive Shutdown?\n\n  Cryptojacking is the exploitation of victims' computer resources to mine for\ncryptocurrency using malicious scripts. It has become popular after 2017 when\nattackers started to exploit legal mining scripts, especially Coinhive scripts.\nCoinhive was actually a legal mining service that provided scripts and servers\nfor in-browser mining activities. Nevertheless, over 10 million web users had\nbeen victims every month before the Coinhive shutdown that happened in Mar\n2019. This paper explores the new era of the cryptojacking world after Coinhive\ndiscontinued its service. We aimed to see whether and how attackers continue\ncryptojacking, generate new malicious scripts, and developed new methods. We\nused a capable cryptojacking detector named CMTracker that proposed by Hong et\nal. in 2018. We automatically and manually examined 2770 websites that had been\ndetected by CMTracker before the Coinhive shutdown. The results revealed that\n99\\% of sites no longer continue cryptojacking. 1\\% of websites still run 8\nunique mining scripts. By tracking these mining scripts, we detected 632 unique\ncryptojacking websites. Moreover, open-source investigations (OSINT)\ndemonstrated that attackers still use the same methods. Therefore, we listed\nthe typical patterns of cryptojacking. We concluded that cryptojacking is not\ndead after the Coinhive shutdown. It is still alive, but not as attractive as\nit used to be.\n"", 'prediction': 'Unlikely AI', 'llm_prediction': {'GPT35': 0.0, 'GPT4': 0.0, 'CLAUDE': 0.0, 'GOOGLE': 0.0, 'OPENAI_O_SERIES': 0.0, 'DEEPSEEK': 0.0, 'GROK': 0.0, 'NOVA': 0.0, 'OTHER': 0.0, 'HUMAN': 0.0}}"
2001.04827,regular,pre_llm,2020,1,"{'ai_likelihood': 2.9802322387695312e-06, 'text': 'Correlations of Multi-input Monero Transactions\n\n  A variety of correlations are detected in the Monero blockchain. The joint\ndistribution of the time-since-last-transaction between elements of pairs of\nRingCTs is enhanced in comparison with the product of the marginal\ndistributions. Similarly there is an enhancement in the joint distribution of\nthe hour timestamps between the same pairs. Lastly, we find another enhancement\nwhen the correlation is measured between the hour timestamps of the transaction\nitself and the elements of the RingCTs. We calculate some adjustments to the\nprobabilities of which input in a RingCT is real, providing an additional\nheuristic to denoising the Monero blockchain.\n', 'prediction': 'Unlikely AI', 'llm_prediction': {'GPT35': 0.0, 'GPT4': 0.0, 'CLAUDE': 0.0, 'GOOGLE': 0.0, 'OPENAI_O_SERIES': 0.0, 'DEEPSEEK': 0.0, 'GROK': 0.0, 'NOVA': 0.0, 'OTHER': 0.0, 'HUMAN': 0.0}}"
2001.11229,regular,pre_llm,2020,1,"{'ai_likelihood': 6.688965691460504e-06, 'text': 'Parity (XOR) Reasoning for the Index Calculus Attack\n\n  Cryptographic problems can often be reduced to solving Boolean polynomial\nsystems, whose equivalent logical formulas can be treated using SAT solvers.\nGiven the algebraic nature of the problem, the use of the logical XOR operator\nis common in SAT-based cryptanalysis. Recent works have focused on advanced\ntechniques for handling parity (XOR) constraints, such as the Gaussian\nElimination technique. First, we propose an original XOR-reasoning SAT solver,\nnamed WDSat (Weil Descent SAT solving), dedicated to a specific cryptographic\nproblem. Secondly, we show that in some cases Gaussian Elimination on SAT\ninstances does not work as well as Gaussian Elimination on algebraic systems.\nWe demonstrate how this oversight is fixed in our solver, which is adapted to\nread instances in algebraic normal form (ANF). Finally, we propose a novel\npreprocessing technique based on the Minimal Vertex Cover Problem in graph\ntheory. This preprocessing technique is, within the framework of multivariate\nBoolean polynomial systems, used as a DLL branching selection rule that leads\nto quick linearization of the underlying algebraic system. Our benchmarks use a\nmodel obtained from cryptographic instances for which a significant speedup is\nachieved using the findings in this paper. We further explain how our\npreprocessing technique can be used as an assessment of the security of a\ncryptographic system.\n', 'prediction': 'Unlikely AI', 'llm_prediction': {'GPT35': 0.0, 'GPT4': 0.0, 'CLAUDE': 0.0, 'GOOGLE': 0.0, 'OPENAI_O_SERIES': 0.0, 'DEEPSEEK': 0.0, 'GROK': 0.0, 'NOVA': 0.0, 'OTHER': 0.0, 'HUMAN': 0.0}}"
