arxiv_id,paper_type,period,year,perplexity,alpha_estimate,alpha_ci_half_width,year_alpha_estimate,year_alpha_ci_half_width
2002.05657,review,pre_llm,2020,33.72243118286133,0.241,0.014,,
2001.03942,regular,pre_llm,2020,39.334415435791016,0.118,0.009,,
2001.00301,review,pre_llm,2020,53.551998138427734,0.241,0.014,,
2001.08614,regular,pre_llm,2020,29.142139434814453,0.118,0.009,,
2001.07864,review,pre_llm,2020,33.840576171875,0.241,0.014,,
2001.076,review,pre_llm,2020,31.702714920043945,0.241,0.014,,
2001.04513,regular,pre_llm,2020,33.844539642333984,0.118,0.009,,
2001.03511,review,pre_llm,2020,37.0768928527832,0.241,0.014,,
2001.01511,review,pre_llm,2020,36.48384094238281,0.241,0.014,,
2001.09755,review,pre_llm,2020,55.16989517211914,0.241,0.014,,
2001.1181,regular,pre_llm,2020,65.17555236816406,0.118,0.009,,
2001.00249,review,pre_llm,2020,105.22784423828125,0.241,0.014,,
2001.00367,regular,pre_llm,2020,32.12580490112305,0.118,0.009,,
2001.09954,regular,pre_llm,2020,50.273292541503906,0.118,0.009,,
2002.0565,review,pre_llm,2020,44.32269287109375,0.241,0.014,,
2001.08293,regular,pre_llm,2020,28.63637924194336,0.118,0.009,,
2001.08777,regular,pre_llm,2020,30.149038314819336,0.118,0.009,,
2001.09762,review,pre_llm,2020,36.76772689819336,0.241,0.014,,
2001.10622,review,pre_llm,2020,39.564613342285156,0.241,0.014,,
2001.09768,review,pre_llm,2020,33.548824310302734,0.241,0.014,,
2001.08949,review,pre_llm,2020,68.63687133789062,0.241,0.014,,
2001.09738,review,pre_llm,2020,55.157142639160156,0.241,0.014,,
2001.07311,regular,pre_llm,2020,38.55827331542969,0.118,0.009,,
2001.0975,review,pre_llm,2020,37.45233154296875,0.241,0.014,,
2001.10256,regular,pre_llm,2020,38.378746032714844,0.118,0.009,,
2001.09955,regular,pre_llm,2020,35.640037536621094,0.118,0.009,,
2001.05961,regular,pre_llm,2020,35.92655563354492,0.118,0.009,,
2001.08686,regular,pre_llm,2020,50.2563591003418,0.118,0.009,,
