arxiv_id,paper_type,period,year,perplexity,alpha_estimate,alpha_ci_half_width,year_alpha_estimate,year_alpha_ci_half_width
2001.02344,regular,pre_llm,2020,73.3681411743164,0.014,0.003,,
2001.00186,regular,pre_llm,2020,47.63373947143555,0.014,0.003,,
2001.07075,regular,pre_llm,2020,32.14736557006836,0.014,0.003,,
2001.11369,regular,pre_llm,2020,43.04832077026367,0.014,0.003,,
2001.10781,regular,pre_llm,2020,43.76950454711914,0.014,0.003,,
2001.00802,regular,pre_llm,2020,29.636661529541016,0.014,0.003,,
2001.08085,regular,pre_llm,2020,49.6829719543457,0.014,0.003,,
2001.00267,regular,pre_llm,2020,31.44164276123047,0.014,0.003,,
2001.11021,review,pre_llm,2020,43.072452545166016,0.053,0.015,,
2001.0744,regular,pre_llm,2020,66.47522735595703,0.014,0.003,,
2001.05917,regular,pre_llm,2020,57.251773834228516,0.014,0.003,,
2001.11358,regular,pre_llm,2020,42.13460922241211,0.014,0.003,,
2001.0691,review,pre_llm,2020,84.00254821777344,0.053,0.015,,
2001.05357,regular,pre_llm,2020,39.34586715698242,0.014,0.003,,
2001.07139,regular,pre_llm,2020,37.2014274597168,0.014,0.003,,
2001.04719,regular,pre_llm,2020,52.037227630615234,0.014,0.003,,
2001.09897,regular,pre_llm,2020,28.0485897064209,0.014,0.003,,
2001.10382,regular,pre_llm,2020,90.39337158203125,0.014,0.003,,
2002.12021,review,pre_llm,2020,44.89112091064453,0.053,0.015,,
2002.085,regular,pre_llm,2020,76.49222564697266,0.014,0.003,,
2003.00107,regular,pre_llm,2020,40.68060302734375,0.014,0.003,,
2002.08577,review,pre_llm,2020,36.012271881103516,0.053,0.015,,
2002.03124,regular,pre_llm,2020,118.47998046875,0.014,0.003,,
2002.00207,review,pre_llm,2020,32.672847747802734,0.053,0.015,,
2002.01854,regular,pre_llm,2020,50.00539016723633,0.014,0.003,,
2002.07993,regular,pre_llm,2020,35.654144287109375,0.014,0.003,,
2002.05653,regular,pre_llm,2020,113.76063537597656,0.014,0.003,,
2002.11844,regular,pre_llm,2020,43.5492057800293,0.014,0.003,,
2002.01554,regular,pre_llm,2020,63.050270080566406,0.014,0.003,,
2003.00807,regular,pre_llm,2020,58.66915512084961,0.014,0.003,,
2002.09102,regular,pre_llm,2020,40.52180099487305,0.014,0.003,,
2002.11252,regular,pre_llm,2020,32.76620864868164,0.014,0.003,,
2002.02375,regular,pre_llm,2020,34.4309196472168,0.014,0.003,,
2002.0853,regular,pre_llm,2020,47.09610366821289,0.014,0.003,,
2003.00097,regular,pre_llm,2020,38.58513259887695,0.014,0.003,,
2003.09086,regular,pre_llm,2020,42.732330322265625,0.014,0.003,,
2003.13481,regular,pre_llm,2020,46.05782699584961,0.014,0.003,,
2003.08276,review,pre_llm,2020,54.11452865600586,0.053,0.015,,
2003.03975,regular,pre_llm,2020,37.44102096557617,0.014,0.003,,
2003.13474,regular,pre_llm,2020,43.03217697143555,0.014,0.003,,
2003.07461,regular,pre_llm,2020,37.07274627685547,0.014,0.003,,
2003.11634,regular,pre_llm,2020,36.902374267578125,0.014,0.003,,
2003.10699,regular,pre_llm,2020,27.19941520690918,0.014,0.003,,
2003.04628,review,pre_llm,2020,36.94474411010742,0.053,0.015,,
2003.09592,regular,pre_llm,2020,39.50947952270508,0.014,0.003,,
2003.07027,regular,pre_llm,2020,36.80927658081055,0.014,0.003,,
2004.14714,regular,pre_llm,2020,59.665794372558594,0.014,0.003,,
2004.14269,regular,pre_llm,2020,37.88042449951172,0.014,0.003,,
2004.12563,regular,pre_llm,2020,54.41180419921875,0.014,0.003,,
2004.14255,regular,pre_llm,2020,68.80917358398438,0.014,0.003,,
2004.11588,review,pre_llm,2020,31.99884796142578,0.053,0.015,,
2004.06389,regular,pre_llm,2020,48.51787185668945,0.014,0.003,,
2004.02023,regular,pre_llm,2020,69.19060516357422,0.014,0.003,,
2004.11699,regular,pre_llm,2020,38.46104049682617,0.014,0.003,,
2004.13136,regular,pre_llm,2020,34.256568908691406,0.014,0.003,,
2004.09424,review,pre_llm,2020,57.274436950683594,0.053,0.015,,
2004.13969,regular,pre_llm,2020,54.62512969970703,0.014,0.003,,
2004.08476,regular,pre_llm,2020,40.468345642089844,0.014,0.003,,
