arxiv_id,paper_type,period,year,perplexity,alpha_estimate,alpha_ci_half_width,year_alpha_estimate,year_alpha_ci_half_width
2001.04292,regular,pre_llm,2020,50.83559036254883,0.017,0.002,,
2001.08371,regular,pre_llm,2020,41.05084228515625,0.017,0.002,,
2001.05674,regular,pre_llm,2020,50.293556213378906,0.017,0.002,,
2001.04889,regular,pre_llm,2020,40.034061431884766,0.017,0.002,,
2001.05681,regular,pre_llm,2020,32.859352111816406,0.017,0.002,,
2002.06761,regular,pre_llm,2020,58.08366012573242,0.017,0.002,,
2003.03253,review,pre_llm,2020,35.10783386230469,0.081,0.01,,
2002.03869,regular,pre_llm,2020,42.44550704956055,0.017,0.002,,
2002.08232,regular,pre_llm,2020,43.83930969238281,0.017,0.002,,
2002.07051,regular,pre_llm,2020,70.36764526367188,0.017,0.002,,
2002.11919,regular,pre_llm,2020,36.89817810058594,0.017,0.002,,
2002.08224,review,pre_llm,2020,41.72361755371094,0.081,0.01,,
2003.04295,regular,pre_llm,2020,41.44034957885742,0.017,0.002,,
2004.11127,regular,pre_llm,2020,75.3428955078125,0.017,0.002,,
2003.05739,regular,pre_llm,2020,39.6202507019043,0.017,0.002,,
2004.04644,review,pre_llm,2020,41.53671646118164,0.081,0.01,,
2003.09603,regular,pre_llm,2020,103.14163970947266,0.017,0.002,,
2004.06037,regular,pre_llm,2020,118.26905059814453,0.017,0.002,,
2003.1362,regular,pre_llm,2020,45.7957763671875,0.017,0.002,,
2004.14382,regular,pre_llm,2020,36.40204620361328,0.017,0.002,,
2004.04815,regular,pre_llm,2020,51.722450256347656,0.017,0.002,,
2004.05244,regular,pre_llm,2020,96.53874206542969,0.017,0.002,,
2004.08152,regular,pre_llm,2020,82.77770233154297,0.017,0.002,,
2004.04892,regular,pre_llm,2020,42.74898147583008,0.017,0.002,,
2004.04328,regular,pre_llm,2020,49.1373176574707,0.017,0.002,,
2004.12088,regular,pre_llm,2020,59.77061462402344,0.017,0.002,,
2004.14476,regular,pre_llm,2020,59.33818054199219,0.017,0.002,,
2005.03451,regular,pre_llm,2020,40.49113845825195,0.017,0.002,,
2005.12401,regular,pre_llm,2020,37.5687141418457,0.017,0.002,,
2005.02563,regular,pre_llm,2020,38.22630310058594,0.017,0.002,,
2005.1064,regular,pre_llm,2020,47.742889404296875,0.017,0.002,,
2005.04321,regular,pre_llm,2020,43.09769058227539,0.017,0.002,,
2005.01194,regular,pre_llm,2020,59.35756301879883,0.017,0.002,,
