arxiv_id,paper_type,period,year,perplexity,alpha_estimate,alpha_ci_half_width,year_alpha_estimate,year_alpha_ci_half_width
2001.11593,regular,pre_llm,2020,36.4818000793457,0.048,0.004,,
2001.02467,regular,pre_llm,2020,44.47186279296875,0.048,0.004,,
2001.00491,regular,pre_llm,2020,28.15741729736328,0.048,0.004,,
2001.06426,regular,pre_llm,2020,71.28922271728516,0.048,0.004,,
2001.04808,regular,pre_llm,2020,43.052608489990234,0.048,0.004,,
2001.04314,regular,pre_llm,2020,33.413692474365234,0.048,0.004,,
2001.02941,regular,pre_llm,2020,63.28789520263672,0.048,0.004,,
2001.02092,regular,pre_llm,2020,42.48347854614258,0.048,0.004,,
2001.10281,regular,pre_llm,2020,37.75334930419922,0.048,0.004,,
2001.01606,regular,pre_llm,2020,77.34793090820312,0.048,0.004,,
2001.08399,regular,pre_llm,2020,28.02170753479004,0.048,0.004,,
2001.01424,review,pre_llm,2020,44.922115325927734,0.133,0.01,,
2001.00219,review,pre_llm,2020,55.99267578125,0.133,0.01,,
2001.09342,regular,pre_llm,2020,44.516014099121094,0.048,0.004,,
2001.10512,regular,pre_llm,2020,39.183204650878906,0.048,0.004,,
2001.11655,regular,pre_llm,2020,33.17515563964844,0.048,0.004,,
2001.05254,review,pre_llm,2020,32.70988464355469,0.133,0.01,,
2001.06675,regular,pre_llm,2020,37.35791015625,0.048,0.004,,
2001.09177,regular,pre_llm,2020,34.135955810546875,0.048,0.004,,
2001.11367,regular,pre_llm,2020,113.93451690673828,0.048,0.004,,
2001.0898,review,pre_llm,2020,46.05327606201172,0.133,0.01,,
2001.07125,regular,pre_llm,2020,37.306880950927734,0.048,0.004,,
2001.07409,regular,pre_llm,2020,37.34659957885742,0.048,0.004,,
2001.04221,regular,pre_llm,2020,41.25497055053711,0.048,0.004,,
2001.0963,regular,pre_llm,2020,32.88179397583008,0.048,0.004,,
2001.11245,review,pre_llm,2020,30.883161544799805,0.133,0.01,,
2001.10794,regular,pre_llm,2020,30.23878288269043,0.048,0.004,,
2001.07808,review,pre_llm,2020,31.378219604492188,0.133,0.01,,
2001.03356,regular,pre_llm,2020,39.185970306396484,0.048,0.004,,
2001.07283,regular,pre_llm,2020,35.73113250732422,0.048,0.004,,
2001.09148,regular,pre_llm,2020,37.82386779785156,0.048,0.004,,
2001.03338,regular,pre_llm,2020,22.58468246459961,0.048,0.004,,
2001.07399,regular,pre_llm,2020,31.01085662841797,0.048,0.004,,
2001.09924,regular,pre_llm,2020,39.86270523071289,0.048,0.004,,
2001.01598,regular,pre_llm,2020,47.38034439086914,0.048,0.004,,
2001.07869,regular,pre_llm,2020,35.3351936340332,0.048,0.004,,
2001.11962,regular,pre_llm,2020,68.8011703491211,0.048,0.004,,
2001.06652,review,pre_llm,2020,37.00485610961914,0.133,0.01,,
2001.11334,review,pre_llm,2020,49.00886154174805,0.133,0.01,,
2001.079,regular,pre_llm,2020,27.10904312133789,0.048,0.004,,
2001.03277,regular,pre_llm,2020,26.70036506652832,0.048,0.004,,
2001.01477,review,pre_llm,2020,32.24284362792969,0.133,0.01,,
2001.03038,regular,pre_llm,2020,27.158462524414062,0.048,0.004,,
2002.04566,review,pre_llm,2020,27.916425704956055,0.133,0.01,,
2002.10163,review,pre_llm,2020,68.53558349609375,0.133,0.01,,
2002.03064,regular,pre_llm,2020,33.15205001831055,0.048,0.004,,
2002.0077,review,pre_llm,2020,25.77029037475586,0.133,0.01,,
2002.06213,regular,pre_llm,2020,49.345252990722656,0.048,0.004,,
2002.07443,regular,pre_llm,2020,41.9930419921875,0.048,0.004,,
2002.01785,regular,pre_llm,2020,37.93065643310547,0.048,0.004,,
2002.04974,review,pre_llm,2020,49.04627990722656,0.133,0.01,,
2002.01699,regular,pre_llm,2020,46.10846710205078,0.048,0.004,,
2002.07764,review,pre_llm,2020,41.986820220947266,0.133,0.01,,
2002.03637,regular,pre_llm,2020,26.312437057495117,0.048,0.004,,
2002.04695,regular,pre_llm,2020,57.15668869018555,0.048,0.004,,
2002.08458,review,pre_llm,2020,42.5790901184082,0.133,0.01,,
2002.02672,review,pre_llm,2020,34.35014724731445,0.133,0.01,,
2002.01275,review,pre_llm,2020,36.853214263916016,0.133,0.01,,
2003.00032,regular,pre_llm,2020,73.97891235351562,0.048,0.004,,
2002.0289,regular,pre_llm,2020,44.44740295410156,0.048,0.004,,
2003.00257,regular,pre_llm,2020,37.549537658691406,0.048,0.004,,
2002.07279,review,pre_llm,2020,26.957059860229492,0.133,0.01,,
2002.0576,regular,pre_llm,2020,33.51149368286133,0.048,0.004,,
2002.11066,regular,pre_llm,2020,42.68826675415039,0.048,0.004,,
2002.12543,regular,pre_llm,2020,28.589468002319336,0.048,0.004,,
2002.01035,review,pre_llm,2020,43.542236328125,0.133,0.01,,
2002.10835,review,pre_llm,2020,62.748687744140625,0.133,0.01,,
2002.02056,regular,pre_llm,2020,60.85324478149414,0.048,0.004,,
2002.0708,review,pre_llm,2020,59.80853271484375,0.133,0.01,,
2002.03968,review,pre_llm,2020,28.4996280670166,0.133,0.01,,
2002.0265,regular,pre_llm,2020,42.072364807128906,0.048,0.004,,
2002.11028,regular,pre_llm,2020,21.728721618652344,0.048,0.004,,
2002.04516,regular,pre_llm,2020,38.72511672973633,0.048,0.004,,
2002.03927,regular,pre_llm,2020,45.48896789550781,0.048,0.004,,
2002.01759,review,pre_llm,2020,23.90222930908203,0.133,0.01,,
2002.11049,regular,pre_llm,2020,30.51921844482422,0.048,0.004,,
2002.06392,regular,pre_llm,2020,33.75462341308594,0.048,0.004,,
