arxiv_id,paper_type,period,year,perplexity,alpha_estimate,alpha_ci_half_width,year_alpha_estimate,year_alpha_ci_half_width,alpha_adjusted,alpha_adjusted_ci_half_width,year_alpha_adjusted,year_alpha_adjusted_ci_half_width
2001.0225,regular,pre_llm,2020,36.68084335327149,0.012,0.001,,,0.0,0.0,,
2001.00915,regular,pre_llm,2020,52.34249114990234,0.012,0.001,,,0.0,0.0,,
2001.05344,regular,pre_llm,2020,28.572416305541992,0.012,0.001,,,0.0,0.0,,
2001.04938,regular,pre_llm,2020,41.15384292602539,0.012,0.001,,,0.0,0.0,,
2001.04629,regular,pre_llm,2020,39.8125,0.012,0.001,,,0.0,0.0,,
2001.02883,regular,pre_llm,2020,58.870391845703125,0.012,0.001,,,0.0,0.0,,
2001.02198,review,pre_llm,2020,87.90631103515625,0.023,0.005,,,0.0,0.0,,
2001.11256,regular,pre_llm,2020,27.0811767578125,0.012,0.001,,,0.0,0.0,,
2001.01992,regular,pre_llm,2020,56.13149642944336,0.012,0.001,,,0.0,0.0,,
2001.0817,regular,pre_llm,2020,26.677387237548828,0.012,0.001,,,0.0,0.0,,
2001.0098,regular,pre_llm,2020,53.41240692138672,0.012,0.001,,,0.0,0.0,,
2001.00944,review,pre_llm,2020,91.2647705078125,0.023,0.005,,,0.0,0.0,,
2001.01996,regular,pre_llm,2020,35.413963317871094,0.012,0.001,,,0.0,0.0,,
2001.04444,regular,pre_llm,2020,52.97267150878906,0.012,0.001,,,0.0,0.0,,
2001.0466,regular,pre_llm,2020,36.40179443359375,0.012,0.001,,,0.0,0.0,,
2001.10317,regular,pre_llm,2020,89.66807556152344,0.012,0.001,,,0.0,0.0,,
2002.00033,regular,pre_llm,2020,96.01620483398438,0.012,0.001,,,0.0,0.0,,
2001.0404,regular,pre_llm,2020,37.37763595581055,0.012,0.001,,,0.0,0.0,,
2001.08146,regular,pre_llm,2020,33.656219482421875,0.012,0.001,,,0.0,0.0,,
2001.04507,regular,pre_llm,2020,43.77531814575195,0.012,0.001,,,0.0,0.0,,
2001.08712,regular,pre_llm,2020,45.57768630981445,0.012,0.001,,,0.0,0.0,,
2001.05709,regular,pre_llm,2020,43.91286087036133,0.012,0.001,,,0.0,0.0,,
2001.11685,regular,pre_llm,2020,33.655067443847656,0.012,0.001,,,0.0,0.0,,
2001.07773,review,pre_llm,2020,66.59429168701172,0.023,0.005,,,0.0,0.0,,
2001.08327,regular,pre_llm,2020,50.971797943115234,0.012,0.001,,,0.0,0.0,,
2001.00299,regular,pre_llm,2020,36.04659652709961,0.012,0.001,,,0.0,0.0,,
2001.07623,review,pre_llm,2020,47.37591552734375,0.023,0.005,,,0.0,0.0,,
2001.09945,regular,pre_llm,2020,42.39689254760742,0.012,0.001,,,0.0,0.0,,
2001.01924,regular,pre_llm,2020,32.83108139038086,0.012,0.001,,,0.0,0.0,,
2001.06606,regular,pre_llm,2020,34.85851287841797,0.012,0.001,,,0.0,0.0,,
2001.04343,review,pre_llm,2020,60.29058074951172,0.023,0.005,,,0.0,0.0,,
