category,count,year_month
cs-AI,54,2020-01
cs-CL,86,2020-01
cs-CR,83,2020-01
cs-CV,300,2020-01
cs-CY,41,2020-01
cs-HC,44,2020-01
cs-IR,18,2020-01
cs-LG,5,2020-01
cs-RO,42,2020-01
cs-SE,43,2020-01
cs-AI,52,2020-02
cs-CL,107,2020-02
cs-CR,73,2020-02
cs-CV,338,2020-02
cs-CY,26,2020-02
cs-HC,50,2020-02
cs-IR,17,2020-02
cs-LG,7,2020-02
cs-RO,82,2020-02
cs-SE,49,2020-02
cs-AI,47,2020-03
cs-CL,118,2020-03
cs-CR,77,2020-03
cs-CV,500,2020-03
cs-CY,27,2020-03
cs-HC,35,2020-03
cs-IR,11,2020-03
cs-LG,7,2020-03
cs-RO,140,2020-03
cs-SE,66,2020-03
cs-AI,37,2020-04
cs-CL,419,2020-04
cs-CR,82,2020-04
cs-CV,500,2020-04
cs-CY,40,2020-04
cs-HC,31,2020-04
cs-IR,23,2020-04
cs-LG,8,2020-04
cs-RO,53,2020-04
cs-SE,71,2020-04
cs-AI,53,2020-05
cs-CL,333,2020-05
cs-CR,117,2020-05
cs-CV,354,2020-05
cs-CY,72,2020-05
cs-HC,38,2020-05
cs-IR,42,2020-05
cs-LG,7,2020-05
cs-RO,79,2020-05
cs-SE,81,2020-05
cs-AI,44,2020-06
cs-CL,143,2020-06
cs-CR,94,2020-06
cs-CV,480,2020-06
cs-CY,63,2020-06
cs-HC,45,2020-06
cs-IR,25,2020-06
cs-LG,5,2020-06
cs-RO,84,2020-06
cs-SE,49,2020-06
cs-AI,58,2020-07
cs-CL,122,2020-07
cs-CR,120,2020-07
cs-CV,500,2020-07
cs-CY,66,2020-07
cs-HC,47,2020-07
cs-IR,43,2020-07
cs-LG,10,2020-07
cs-RO,98,2020-07
cs-SE,71,2020-07
cs-AI,41,2020-08
cs-CL,130,2020-08
cs-CR,81,2020-08
cs-CV,500,2020-08
cs-CY,43,2020-08
cs-HC,57,2020-08
cs-IR,30,2020-08
cs-LG,19,2020-08
cs-RO,82,2020-08
cs-SE,69,2020-08
cs-AI,102,2020-09
cs-CL,232,2020-09
cs-CR,95,2020-09
cs-CV,442,2020-09
cs-CY,55,2020-09
cs-HC,89,2020-09
cs-IR,31,2020-09
cs-LG,23,2020-09
cs-RO,62,2020-09
cs-SE,68,2020-09
cs-AI,64,2020-10
cs-CL,500,2020-10
cs-CR,104,2020-10
cs-CV,500,2020-10
cs-CY,55,2020-10
cs-HC,59,2020-10
cs-IR,31,2020-10
cs-LG,247,2020-10
cs-RO,143,2020-10
cs-SE,65,2020-10
cs-AI,92,2020-11
cs-CL,258,2020-11
cs-CR,89,2020-11
cs-CV,500,2020-11
cs-CY,49,2020-11
cs-HC,34,2020-11
cs-IR,27,2020-11
cs-LG,210,2020-11
cs-RO,202,2020-11
cs-SE,56,2020-11
cs-AI,83,2020-12
cs-CL,250,2020-12
cs-CR,88,2020-12
cs-CV,500,2020-12
cs-CY,47,2020-12
cs-HC,49,2020-12
cs-IR,39,2020-12
cs-LG,264,2020-12
cs-RO,108,2020-12
cs-SE,89,2020-12
cs-AI,63,2021-01
cs-CL,203,2021-01
cs-CR,83,2021-01
cs-CV,382,2021-01
cs-CY,64,2021-01
cs-HC,84,2021-01
cs-IR,30,2021-01
cs-LG,185,2021-01
cs-RO,83,2021-01
cs-SE,84,2021-01
cs-AI,78,2021-02
cs-CL,168,2021-02
cs-CR,91,2021-02
cs-CV,333,2021-02
cs-CY,56,2021-02
cs-HC,64,2021-02
cs-IR,49,2021-02
cs-LG,315,2021-02
cs-RO,99,2021-02
cs-SE,142,2021-02
cs-AI,77,2021-03
cs-CL,222,2021-03
cs-CR,106,2021-03
cs-CV,500,2021-03
cs-CY,50,2021-03
cs-HC,55,2021-03
cs-IR,28,2021-03
cs-LG,277,2021-03
cs-RO,222,2021-03
cs-SE,229,2021-03
cs-AI,81,2021-04
cs-CL,421,2021-04
cs-CR,110,2021-04
cs-CV,500,2021-04
cs-CY,39,2021-04
cs-HC,59,2021-04
cs-IR,35,2021-04
cs-LG,237,2021-04
cs-RO,137,2021-04
cs-SE,105,2021-04
cs-AI,91,2021-05
cs-CL,303,2021-05
cs-CR,135,2021-05
cs-CV,500,2021-05
cs-CY,55,2021-05
cs-HC,66,2021-05
