category,count,year
cs-AI,727,2020
cs-CL,2698,2020
cs-CR,1103,2020
cs-CV,5414,2020
cs-CY,584,2020
cs-HC,578,2020
cs-IR,337,2020
cs-LG,812,2020
cs-RO,1175,2020
cs-SE,777,2020
cs-AI,928,2021
cs-CL,3283,2021
cs-CR,1198,2021
cs-CV,5689,2021
cs-CY,619,2021
cs-HC,742,2021
cs-IR,494,2021
cs-LG,3521,2021
cs-RO,1634,2021
cs-SE,1198,2021
cs-AI,822,2022
cs-CL,3379,2022
cs-CR,1252,2022
cs-CV,5778,2022
cs-CY,424,2022
cs-HC,772,2022
cs-IR,539,2022
cs-LG,3779,2022
cs-RO,1918,2022
cs-SE,980,2022
cs-AI,1309,2023
cs-CL,3951,2023
cs-CR,1449,2023
cs-CV,5954,2023
cs-CY,590,2023
cs-HC,1162,2023
cs-IR,743,2023
cs-LG,3914,2023
cs-RO,2648,2023
cs-SE,1308,2023
cs-AI,2029,2024
cs-CL,5496,2024
cs-CR,1752,2024
cs-CV,6000,2024
cs-CY,812,2024
cs-HC,1911,2024
cs-IR,944,2024
cs-LG,4693,2024
cs-RO,3534,2024
cs-SE,1575,2024
cs-AI,3675,2025
cs-CL,5432,2025
cs-CR,2189,2025
cs-CV,5793,2025
cs-CY,895,2025
cs-HC,2206,2025
cs-IR,1084,2025
cs-LG,5577,2025
cs-RO,3674,2025
cs-SE,2035,2025
